Node,SP,Layer,Row,Column,Stage,Cond,Rbott
17677,4,1,108,129,477.56003283555185,Kriv1,477.0764285190051
17839,4,1,109,127,477.8700401525815,Kriv1,477.38643583603476
18003,4,1,110,127,478.0045690807634,Kriv1,477.52096476421667
18166,4,1,111,126,478.18555106569653,Kriv1,477.7019467491498
18167,4,1,111,127,478.1365133478866,Kriv1,477.65290903133985
18330,4,1,112,126,478.3189982719308,Kriv1,477.83539395538406
18493,4,1,113,125,478.5274208801777,Kriv1,478.04381656363097
18494,4,1,113,126,478.4522771425506,Kriv1,477.96867282600385
18656,4,1,114,124,478.76099830372203,Kriv1,478.2773939871753
18657,4,1,114,125,478.6363511484716,Kriv1,478.15274683192484
18819,4,1,115,123,478.9140398058208,Kriv1,478.43043548927403
18820,4,1,115,124,478.83769343894767,Kriv1,478.3540891224009
18984,4,1,116,124,479.054410136207,Kriv1,478.5708058196603
19147,4,1,117,123,479.2557604858392,Kriv1,478.77215616929243
19148,4,1,117,124,479.1924428159722,Kriv1,478.70883849942544
19311,4,1,118,123,479.364176044509,Kriv1,478.88057172796226
19475,4,1,119,123,479.5183150230119,Kriv1,479.03471070646515
19639,4,1,120,123,479.6586795154283,Kriv1,479.17507519888153
19802,4,1,121,122,479.8879319775812,Kriv1,479.4043276610345
19803,4,1,121,123,479.78194490075504,Kriv1,479.2983405842083
19964,4,1,122,120,480.2180736615698,Kriv1,479.73446934502306
19965,4,1,122,121,480.0980590061149,Kriv1,479.61445468956816
19966,4,1,122,122,479.975734852515,Kriv1,479.4921305359683
20127,4,1,123,119,480.4220906758637,Kriv1,479.938486359317
20128,4,1,123,120,480.2873662932728,Kriv1,479.80376197672604
20290,4,1,124,118,480.614429804805,Kriv1,480.13082548825827
20291,4,1,124,119,480.52788626486785,Kriv1,480.0442819483211
20453,4,1,125,117,480.8360152555964,Kriv1,480.35241093904966
20454,4,1,125,118,480.72132015506827,Kriv1,480.2377158385215
20615,4,1,126,115,481.18817006149027,Kriv1,480.7045657449435
20616,4,1,126,116,481.05629118639496,Kriv1,480.5726868698482
20617,4,1,126,117,480.9017171945539,Kriv1,480.41811287800715
20776,4,1,127,112,481.63110373438127,Kriv1,481.1474994178345
20777,4,1,127,113,481.5180116471956,Kriv1,481.03440733064883
20778,4,1,127,114,481.37680604580146,Kriv1,480.8932017292547
20779,4,1,127,115,481.2500139679518,Kriv1,480.76640965140507
20939,4,1,128,111,481.8572797039284,Kriv1,481.37367538738164
20940,4,1,128,112,481.7435768018475,Kriv1,481.25997248530075
21102,4,1,129,110,482.0386326876201,Kriv1,481.5550283710734
21103,4,1,129,111,481.9290984108442,Kriv1,481.44549409429743
21266,4,1,130,110,482.1349610191081,Kriv1,481.6513567025614
21267,4,1,130,111,482.4430037177976,Kriv1,481.95939940125083
21268,4,1,130,112,482.3605285083982,Kriv1,481.87692419185146
12922,5,1,79,130,472.53292341377886,Kriv1,472.0493190972321
12923,5,1,79,131,472.6084014608842,Kriv1,472.12479714433744
12924,5,1,79,132,472.73329856920725,Kriv1,472.2496942526605
13088,5,1,80,132,472.8571211800224,Kriv1,472.37351686347563
13252,5,1,81,132,473.0033344029779,Kriv1,472.51973008643114
13416,5,1,82,132,473.13644769003423,Kriv1,472.6528433734875
13417,5,1,82,133,473.1686475092631,Kriv1,472.68504319271636
13581,5,1,83,133,473.3123892383248,Kriv1,472.82878492177804
13582,5,1,83,134,473.3997995200786,Kriv1,472.91619520353186
13745,5,1,84,133,473.5376832290348,Kriv1,473.0540789124881
13746,5,1,84,134,473.50538161028544,Kriv1,473.0217772937387
13909,5,1,85,133,473.6794797135327,Kriv1,473.19587539698597
13910,5,1,85,134,473.7543406350327,Kriv1,473.27073631848594
14074,5,1,86,134,473.83141436161674,Kriv1,473.34781004507
14236,5,1,87,132,474.11959114961456,Kriv1,473.6359868330678
14237,5,1,87,133,474.03312977289374,Kriv1,473.549525456347
14238,5,1,87,134,473.9310118076343,Kriv1,473.4474074910876
14400,5,1,88,132,474.1860300204085,Kriv1,473.70242570386176
14401,5,1,88,133,474.2664641339378,Kriv1,473.78285981739106
14565,5,1,89,133,474.3922377572938,Kriv1,473.90863344074705
14729,5,1,90,133,474.52982364390414,Kriv1,474.0462193273574
14730,5,1,90,134,474.6140672694844,Kriv1,474.13046295293765
14894,5,1,91,134,474.7434644794753,Kriv1,474.25986016292853
15058,5,1,92,134,474.8922916344558,Kriv1,474.408687317909
15222,5,1,93,134,475.10927726144496,Kriv1,474.6256729448982
15223,5,1,93,135,475.0348990147978,Kriv1,474.55129469825107
15386,5,1,94,134,475.2270491438487,Kriv1,474.74344482730197
15550,5,1,95,134,475.3637512555185,Kriv1,474.88014693897173
15714,5,1,96,134,475.54236706225663,Kriv1,475.0587627457099
15877,5,1,97,133,475.73613937731704,Kriv1,475.2525350607703
15878,5,1,97,134,475.6659813643047,Kriv1,475.18237704775794
16040,5,1,98,132,475.9642981222831,Kriv1,475.48069380573634
16041,5,1,98,133,475.8510346370153,Kriv1,475.36743032046854
16203,5,1,99,131,476.14535663817776,Kriv1,475.661752321631
16204,5,1,99,132,476.06325763265465,Kriv1,475.5796533161079
16367,5,1,100,131,476.2563922719077,Kriv1,475.77278795536097
16531,5,1,101,131,476.4663835133631,Kriv1,475.98277919681635
16532,5,1,101,132,476.4098190669909,Kriv1,475.92621475044416
16694,5,1,102,130,476.66129126849756,Kriv1,476.1776869519508
16695,5,1,102,131,476.5852097901145,Kriv1,476.10160547356776
16858,5,1,103,130,476.7542795704187,Kriv1,476.27067525387196
16859,5,1,103,131,476.82617049452364,Kriv1,476.3425661779769
17022,5,1,104,130,476.9903259828251,Kriv1,476.50672166627834
17023,5,1,104,131,476.8924690078009,Kriv1,476.40886469125417
17185,5,1,105,129,477.1824416199878,Kriv1,476.69883730344105
17186,5,1,105,130,477.0684954752417,Kriv1,476.584891158695
17349,5,1,106,129,477.3150819728924,Kriv1,476.83147765634567
17513,5,1,107,129,477.4728099854943,Kriv1,476.98920566894753
17675,5,1,108,127,477.75562169030997,Kriv1,477.2720173737632
17676,5,1,108,128,477.6626976324627,Kriv1,477.17909331591596
17677,5,1,108,129,477.56003283555185,Kriv1,477.0764285190051
17839,5,1,109,127,477.8700401525815,Kriv1,477.38643583603476
18003,5,1,110,127,478.0045690807634,Kriv1,477.52096476421667
18166,5,1,111,126,478.18555106569653,Kriv1,477.7019467491498
18167,5,1,111,127,478.1365133478866,Kriv1,477.65290903133985
18330,5,1,112,126,478.3189982719308,Kriv1,477.83539395538406
18493,5,1,113,125,478.5274208801777,Kriv1,478.04381656363097
18494,5,1,113,126,478.4522771425506,Kriv1,477.96867282600385
18656,5,1,114,124,478.76099830372203,Kriv1,478.2773939871753
18657,5,1,114,125,478.6363511484716,Kriv1,478.15274683192484
18819,5,1,115,123,478.9140398058208,Kriv1,478.43043548927403
18820,5,1,115,124,478.83769343894767,Kriv1,478.3540891224009
18984,5,1,116,124,479.054410136207,Kriv1,478.5708058196603
19147,5,1,117,123,479.2557604858392,Kriv1,478.77215616929243
19148,5,1,117,124,479.1924428159722,Kriv1,478.70883849942544
19311,5,1,118,123,479.364176044509,Kriv1,478.88057172796226
19475,5,1,119,123,479.5183150230119,Kriv1,479.03471070646515
19639,5,1,120,123,479.6586795154283,Kriv1,479.17507519888153
19802,5,1,121,122,479.8879319775812,Kriv1,479.4043276610345
19803,5,1,121,123,479.78194490075504,Kriv1,479.2983405842083
19964,5,1,122,120,480.2180736615698,Kriv1,479.73446934502306
19965,5,1,122,121,480.0980590061149,Kriv1,479.61445468956816
19966,5,1,122,122,479.975734852515,Kriv1,479.4921305359683
20127,5,1,123,119,480.4220906758637,Kriv1,479.938486359317
20128,5,1,123,120,480.2873662932728,Kriv1,479.80376197672604
20290,5,1,124,118,480.614429804805,Kriv1,480.13082548825827
20291,5,1,124,119,480.52788626486785,Kriv1,480.0442819483211
20453,5,1,125,117,480.8360152555964,Kriv1,480.35241093904966
20454,5,1,125,118,480.72132015506827,Kriv1,480.2377158385215
20615,5,1,126,115,481.18817006149027,Kriv1,480.7045657449435
20616,5,1,126,116,481.05629118639496,Kriv1,480.5726868698482
20617,5,1,126,117,480.9017171945539,Kriv1,480.41811287800715
20776,5,1,127,112,481.63110373438127,Kriv1,481.1474994178345
20777,5,1,127,113,481.5180116471956,Kriv1,481.03440733064883
20778,5,1,127,114,481.37680604580146,Kriv1,480.8932017292547
20779,5,1,127,115,481.2500139679518,Kriv1,480.76640965140507
20939,5,1,128,111,481.8572797039284,Kriv1,481.37367538738164
20940,5,1,128,112,481.7435768018475,Kriv1,481.25997248530075
21102,5,1,129,110,482.0386326876201,Kriv1,481.5550283710734
21103,5,1,129,111,481.9290984108442,Kriv1,481.44549409429743
21266,5,1,130,110,482.1349610191081,Kriv1,481.6513567025614
21267,5,1,130,111,482.4430037177976,Kriv1,481.95939940125083
21268,5,1,130,112,482.3605285083982,Kriv1,481.87692419185146
12922,6,1,79,130,472.53292341377886,Kriv1,472.0493190972321
12923,6,1,79,131,472.6084014608842,Kriv1,472.12479714433744
12924,6,1,79,132,472.73329856920725,Kriv1,472.2496942526605
13088,6,1,80,132,472.8571211800224,Kriv1,472.37351686347563
13252,6,1,81,132,473.0033344029779,Kriv1,472.51973008643114
13416,6,1,82,132,473.13644769003423,Kriv1,472.6528433734875
13417,6,1,82,133,473.1686475092631,Kriv1,472.68504319271636
13581,6,1,83,133,473.3123892383248,Kriv1,472.82878492177804
13582,6,1,83,134,473.3997995200786,Kriv1,472.91619520353186
13745,6,1,84,133,473.5376832290348,Kriv1,473.0540789124881
13746,6,1,84,134,473.50538161028544,Kriv1,473.0217772937387
13909,6,1,85,133,473.6794797135327,Kriv1,473.19587539698597
13910,6,1,85,134,473.7543406350327,Kriv1,473.27073631848594
14074,6,1,86,134,473.83141436161674,Kriv1,473.34781004507
14236,6,1,87,132,474.11959114961456,Kriv1,473.6359868330678
14237,6,1,87,133,474.03312977289374,Kriv1,473.549525456347
14238,6,1,87,134,473.9310118076343,Kriv1,473.4474074910876
14400,6,1,88,132,474.1860300204085,Kriv1,473.70242570386176
14401,6,1,88,133,474.2664641339378,Kriv1,473.78285981739106
14565,6,1,89,133,474.3922377572938,Kriv1,473.90863344074705
14729,6,1,90,133,474.52982364390414,Kriv1,474.0462193273574
14730,6,1,90,134,474.6140672694844,Kriv1,474.13046295293765
14894,6,1,91,134,474.7434644794753,Kriv1,474.25986016292853
15058,6,1,92,134,474.8922916344558,Kriv1,474.408687317909
15222,6,1,93,134,475.10927726144496,Kriv1,474.6256729448982
15223,6,1,93,135,475.0348990147978,Kriv1,474.55129469825107
15386,6,1,94,134,475.2270491438487,Kriv1,474.74344482730197
15550,6,1,95,134,475.3637512555185,Kriv1,474.88014693897173
15714,6,1,96,134,475.54236706225663,Kriv1,475.0587627457099
15877,6,1,97,133,475.73613937731704,Kriv1,475.2525350607703
15878,6,1,97,134,475.6659813643047,Kriv1,475.18237704775794
16040,6,1,98,132,475.9642981222831,Kriv1,475.48069380573634
16041,6,1,98,133,475.8510346370153,Kriv1,475.36743032046854
16203,6,1,99,131,476.14535663817776,Kriv1,475.661752321631
16204,6,1,99,132,476.06325763265465,Kriv1,475.5796533161079
16367,6,1,100,131,476.2563922719077,Kriv1,475.77278795536097
16531,6,1,101,131,476.4663835133631,Kriv1,475.98277919681635
16532,6,1,101,132,476.4098190669909,Kriv1,475.92621475044416
16694,6,1,102,130,476.66129126849756,Kriv1,476.1776869519508
16695,6,1,102,131,476.5852097901145,Kriv1,476.10160547356776
16858,6,1,103,130,476.7542795704187,Kriv1,476.27067525387196
16859,6,1,103,131,476.82617049452364,Kriv1,476.3425661779769
17022,6,1,104,130,476.9903259828251,Kriv1,476.50672166627834
17023,6,1,104,131,476.8924690078009,Kriv1,476.40886469125417
17185,6,1,105,129,477.1824416199878,Kriv1,476.69883730344105
17186,6,1,105,130,477.0684954752417,Kriv1,476.584891158695
17349,6,1,106,129,477.3150819728924,Kriv1,476.83147765634567
17513,6,1,107,129,477.4728099854943,Kriv1,476.98920566894753
17675,6,1,108,127,477.75562169030997,Kriv1,477.2720173737632
17676,6,1,108,128,477.6626976324627,Kriv1,477.17909331591596
17677,6,1,108,129,477.56003283555185,Kriv1,477.0764285190051
17839,6,1,109,127,477.8700401525815,Kriv1,477.38643583603476
18003,6,1,110,127,478.0045690807634,Kriv1,477.52096476421667
18166,6,1,111,126,478.18555106569653,Kriv1,477.7019467491498
18167,6,1,111,127,478.1365133478866,Kriv1,477.65290903133985
18330,6,1,112,126,478.3189982719308,Kriv1,477.83539395538406
18493,6,1,113,125,478.5274208801777,Kriv1,478.04381656363097
18494,6,1,113,126,478.4522771425506,Kriv1,477.96867282600385
18656,6,1,114,124,478.76099830372203,Kriv1,478.2773939871753
18657,6,1,114,125,478.6363511484716,Kriv1,478.15274683192484
18819,6,1,115,123,478.9140398058208,Kriv1,478.43043548927403
18820,6,1,115,124,478.83769343894767,Kriv1,478.3540891224009
18984,6,1,116,124,479.054410136207,Kriv1,478.5708058196603
19147,6,1,117,123,479.2557604858392,Kriv1,478.77215616929243
19148,6,1,117,124,479.1924428159722,Kriv1,478.70883849942544
19311,6,1,118,123,479.364176044509,Kriv1,478.88057172796226
19475,6,1,119,123,479.5183150230119,Kriv1,479.03471070646515
19639,6,1,120,123,479.6586795154283,Kriv1,479.17507519888153
19802,6,1,121,122,479.8879319775812,Kriv1,479.4043276610345
19803,6,1,121,123,479.78194490075504,Kriv1,479.2983405842083
19964,6,1,122,120,480.2180736615698,Kriv1,479.73446934502306
19965,6,1,122,121,480.0980590061149,Kriv1,479.61445468956816
19966,6,1,122,122,479.975734852515,Kriv1,479.4921305359683
20127,6,1,123,119,480.4220906758637,Kriv1,479.938486359317
20128,6,1,123,120,480.2873662932728,Kriv1,479.80376197672604
20290,6,1,124,118,480.614429804805,Kriv1,480.13082548825827
20291,6,1,124,119,480.52788626486785,Kriv1,480.0442819483211
20453,6,1,125,117,480.8360152555964,Kriv1,480.35241093904966
20454,6,1,125,118,480.72132015506827,Kriv1,480.2377158385215
20615,6,1,126,115,481.18817006149027,Kriv1,480.7045657449435
20616,6,1,126,116,481.05629118639496,Kriv1,480.5726868698482
20617,6,1,126,117,480.9017171945539,Kriv1,480.41811287800715
20776,6,1,127,112,481.63110373438127,Kriv1,481.1474994178345
20777,6,1,127,113,481.5180116471956,Kriv1,481.03440733064883
20778,6,1,127,114,481.37680604580146,Kriv1,480.8932017292547
20779,6,1,127,115,481.2500139679518,Kriv1,480.76640965140507
20939,6,1,128,111,481.8572797039284,Kriv1,481.37367538738164
20940,6,1,128,112,481.7435768018475,Kriv1,481.25997248530075
21102,6,1,129,110,482.0386326876201,Kriv1,481.5550283710734
21103,6,1,129,111,481.9290984108442,Kriv1,481.44549409429743
21266,6,1,130,110,482.1349610191081,Kriv1,481.6513567025614
21267,6,1,130,111,482.4430037177976,Kriv1,481.95939940125083
21268,6,1,130,112,482.3605285083982,Kriv1,481.87692419185146
12922,7,1,79,130,472.53292341377886,Kriv1,472.0493190972321
12923,7,1,79,131,472.6084014608842,Kriv1,472.12479714433744
12924,7,1,79,132,472.73329856920725,Kriv1,472.2496942526605
13088,7,1,80,132,472.8571211800224,Kriv1,472.37351686347563
13252,7,1,81,132,473.0033344029779,Kriv1,472.51973008643114
13416,7,1,82,132,473.13644769003423,Kriv1,472.6528433734875
13417,7,1,82,133,473.1686475092631,Kriv1,472.68504319271636
13581,7,1,83,133,473.3123892383248,Kriv1,472.82878492177804
13582,7,1,83,134,473.3997995200786,Kriv1,472.91619520353186
13745,7,1,84,133,473.5376832290348,Kriv1,473.0540789124881
13746,7,1,84,134,473.50538161028544,Kriv1,473.0217772937387
13909,7,1,85,133,473.6794797135327,Kriv1,473.19587539698597
13910,7,1,85,134,473.7543406350327,Kriv1,473.27073631848594
14074,7,1,86,134,473.83141436161674,Kriv1,473.34781004507
14236,7,1,87,132,474.11959114961456,Kriv1,473.6359868330678
14237,7,1,87,133,474.03312977289374,Kriv1,473.549525456347
14238,7,1,87,134,473.9310118076343,Kriv1,473.4474074910876
14400,7,1,88,132,474.1860300204085,Kriv1,473.70242570386176
14401,7,1,88,133,474.2664641339378,Kriv1,473.78285981739106
14565,7,1,89,133,474.3922377572938,Kriv1,473.90863344074705
14729,7,1,90,133,474.52982364390414,Kriv1,474.0462193273574
14730,7,1,90,134,474.6140672694844,Kriv1,474.13046295293765
14894,7,1,91,134,474.7434644794753,Kriv1,474.25986016292853
15058,7,1,92,134,474.8922916344558,Kriv1,474.408687317909
15222,7,1,93,134,475.10927726144496,Kriv1,474.6256729448982
15223,7,1,93,135,475.0348990147978,Kriv1,474.55129469825107
15386,7,1,94,134,475.2270491438487,Kriv1,474.74344482730197
15550,7,1,95,134,475.3637512555185,Kriv1,474.88014693897173
15714,7,1,96,134,475.54236706225663,Kriv1,475.0587627457099
15877,7,1,97,133,475.73613937731704,Kriv1,475.2525350607703
15878,7,1,97,134,475.6659813643047,Kriv1,475.18237704775794
16040,7,1,98,132,475.9642981222831,Kriv1,475.48069380573634
16041,7,1,98,133,475.8510346370153,Kriv1,475.36743032046854
16203,7,1,99,131,476.14535663817776,Kriv1,475.661752321631
16204,7,1,99,132,476.06325763265465,Kriv1,475.5796533161079
16367,7,1,100,131,476.2563922719077,Kriv1,475.77278795536097
16531,7,1,101,131,476.4663835133631,Kriv1,475.98277919681635
16532,7,1,101,132,476.4098190669909,Kriv1,475.92621475044416
16694,7,1,102,130,476.66129126849756,Kriv1,476.1776869519508
16695,7,1,102,131,476.5852097901145,Kriv1,476.10160547356776
16858,7,1,103,130,476.7542795704187,Kriv1,476.27067525387196
16859,7,1,103,131,476.82617049452364,Kriv1,476.3425661779769
17022,7,1,104,130,476.9903259828251,Kriv1,476.50672166627834
17023,7,1,104,131,476.8924690078009,Kriv1,476.40886469125417
17185,7,1,105,129,477.1824416199878,Kriv1,476.69883730344105
17186,7,1,105,130,477.0684954752417,Kriv1,476.584891158695
17349,7,1,106,129,477.3150819728924,Kriv1,476.83147765634567
17513,7,1,107,129,477.4728099854943,Kriv1,476.98920566894753
17675,7,1,108,127,477.75562169030997,Kriv1,477.2720173737632
17676,7,1,108,128,477.6626976324627,Kriv1,477.17909331591596
17677,7,1,108,129,477.56003283555185,Kriv1,477.0764285190051
17839,7,1,109,127,477.8700401525815,Kriv1,477.38643583603476
18003,7,1,110,127,478.0045690807634,Kriv1,477.52096476421667
18166,7,1,111,126,478.18555106569653,Kriv1,477.7019467491498
18167,7,1,111,127,478.1365133478866,Kriv1,477.65290903133985
18330,7,1,112,126,478.3189982719308,Kriv1,477.83539395538406
18493,7,1,113,125,478.5274208801777,Kriv1,478.04381656363097
18494,7,1,113,126,478.4522771425506,Kriv1,477.96867282600385
18656,7,1,114,124,478.76099830372203,Kriv1,478.2773939871753
18657,7,1,114,125,478.6363511484716,Kriv1,478.15274683192484
18819,7,1,115,123,478.9140398058208,Kriv1,478.43043548927403
18820,7,1,115,124,478.83769343894767,Kriv1,478.3540891224009
18984,7,1,116,124,479.054410136207,Kriv1,478.5708058196603
19147,7,1,117,123,479.2557604858392,Kriv1,478.77215616929243
19148,7,1,117,124,479.1924428159722,Kriv1,478.70883849942544
19311,7,1,118,123,479.364176044509,Kriv1,478.88057172796226
19475,7,1,119,123,479.5183150230119,Kriv1,479.03471070646515
19639,7,1,120,123,479.6586795154283,Kriv1,479.17507519888153
19802,7,1,121,122,479.8879319775812,Kriv1,479.4043276610345
19803,7,1,121,123,479.78194490075504,Kriv1,479.2983405842083
19964,7,1,122,120,480.2180736615698,Kriv1,479.73446934502306
19965,7,1,122,121,480.0980590061149,Kriv1,479.61445468956816
19966,7,1,122,122,479.975734852515,Kriv1,479.4921305359683
20127,7,1,123,119,480.4220906758637,Kriv1,479.938486359317
20128,7,1,123,120,480.2873662932728,Kriv1,479.80376197672604
20290,7,1,124,118,480.614429804805,Kriv1,480.13082548825827
20291,7,1,124,119,480.52788626486785,Kriv1,480.0442819483211
20453,7,1,125,117,480.8360152555964,Kriv1,480.35241093904966
20454,7,1,125,118,480.72132015506827,Kriv1,480.2377158385215
20615,7,1,126,115,481.18817006149027,Kriv1,480.7045657449435
20616,7,1,126,116,481.05629118639496,Kriv1,480.5726868698482
20617,7,1,126,117,480.9017171945539,Kriv1,480.41811287800715
20776,7,1,127,112,481.63110373438127,Kriv1,481.1474994178345
20777,7,1,127,113,481.5180116471956,Kriv1,481.03440733064883
20778,7,1,127,114,481.37680604580146,Kriv1,480.8932017292547
20779,7,1,127,115,481.2500139679518,Kriv1,480.76640965140507
20939,7,1,128,111,481.8572797039284,Kriv1,481.37367538738164
20940,7,1,128,112,481.7435768018475,Kriv1,481.25997248530075
21102,7,1,129,110,482.0386326876201,Kriv1,481.5550283710734
21103,7,1,129,111,481.9290984108442,Kriv1,481.44549409429743
21266,7,1,130,110,482.1349610191081,Kriv1,481.6513567025614
21267,7,1,130,111,482.4430037177976,Kriv1,481.95939940125083
21268,7,1,130,112,482.3605285083982,Kriv1,481.87692419185146
12922,8,1,79,130,472.53492341377887,Kriv1,472.0493190972321
